station_name,longitude,latitude
Avenue M station,-73.95972222222224,40.61833333333333
Avenue N station,-73.97421944444444,40.615044444444436
Avenue P station,-73.9730138888889,40.6087388888889
Avenue U station (BMT Brighton Line),-73.95583333333333,40.5988888888889
Avenue U station (IND Culver Line),-73.97331944444444,40.59615
Avenue U station (BMT Sea Beach Line),-73.97896666666666,40.59649444444445
Avenue X station,-73.974125,40.59014166666667
Bay 50th Street station,-73.98388888888887,40.58888888888889
Bay Parkway station (IND Culver Line),-73.97523055555557,40.62086111111111
Bay Parkway station (BMT Sea Beach Line),-73.98199166666667,40.61288611111111
Bay Parkway station (BMT West End Line),-73.99416666666667,40.60277777777778
Bay Ridge Avenue station,-74.02361111111111,40.634722222222216
Bay Ridge–95th Street station,-74.03122222222223,40.616166666666665
Bedford Avenue station,-73.9575,40.71777777777777
Bedford–Nostrand Avenues station,-73.95361111111113,40.689722222222215
Bergen Street station (IND Culver Line),-73.99000555555557,40.68725277777777
Bergen Street station (IRT Eastern Parkway Line),-73.97500000000002,40.68083333333333
Beverley Road station,-73.96444444444445,40.64472222222222
Beverly Road station,-73.94916666666667,40.645
Borough Hall/Court Street station,-73.99027777777778,40.69361111111111
Borough Hall/Court Street station,-73.99027777777778,40.69361111111111
Franklin Avenue/Botanic Garden station,-73.95861111111111,40.67083333333333
Brighton Beach station (BMT Brighton Line),-73.96166666666667,40.5775
Broadway station (IND Crosstown Line),-73.9502777777778,40.70555555555556
Broadway Junction station,-73.9034527777778,40.67891944444444
Broadway Junction station,-73.9034527777778,40.67891944444444
Broadway Junction station,-73.9034527777778,40.67891944444444
Bushwick Avenue–Aberdeen Street station,-73.90527777777778,40.68277777777777
Canarsie–Rockaway Parkway station,-73.9025,40.64527777777778
Carroll Street station,-73.99472222222222,40.680277777777775
Central Avenue station (BMT Myrtle Avenue Line),-73.92527777777778,40.69805555555556
Chauncey Street station,-73.91000000000003,40.6825
Church Avenue station (BMT Brighton Line),-73.96361111111112,40.649722222222216
Church Avenue station (IND Culver Line),-73.97944444444444,40.64277777777778
Church Avenue station (IRT Nostrand Avenue Line),-73.95,40.65083333333333
Clark Street station,-73.99305555555556,40.6975
Classon Avenue station,-73.96000000000002,40.68888888888888
Cleveland Street station,-73.88555555555557,40.67972222222222
Clinton–Washington Avenues station (IND Crosstown Line),-73.96694444444445,40.68805555555555
Clinton–Washington Avenues station (IND Fulton Street Line),-73.96583333333334,40.68305555555556
Coney Island–Stillwell Avenue station,-73.98111111111113,40.577222222222225
Cortelyou Road station,-73.96416666666667,40.641666666666666
Borough Hall/Court Street station,-73.99027777777778,40.69361111111111
Crescent Street station (BMT Jamaica Line),-73.87249999999997,40.68361111111111
Crown Heights–Utica Avenue station,-73.93111111111112,40.66888888888889
Cypress Hills station,-73.87305555555554,40.689722222222215
DeKalb Avenue station (BMT lines),-73.98222222222222,40.69027777777777
DeKalb Avenue station (BMT Canarsie Line),-73.91916666666667,40.70416666666667
Ditmas Avenue station,-73.97817222222223,40.63626388888889
East 105th Street station,-73.89888888888889,40.65138888888889
Eastern Parkway–Brooklyn Museum station,-73.96277777777777,40.67166666666667
Euclid Avenue station (IND Fulton Street Line),-73.87194444444444,40.67527777777777
Flatbush Avenue–Brooklyn College station,-73.94748611111113,40.63236111111111
Flushing Avenue station (IND Crosstown Line),-73.9502777777778,40.69972222222222
Flushing Avenue station (BMT Jamaica Line),-73.94194444444446,40.70055555555556
Fort Hamilton Parkway station (IND Culver Line),-73.97585555555554,40.651455555555565
Fort Hamilton Parkway station (BMT Sea Beach Line),-74.006525,40.6321
Fort Hamilton Parkway station (BMT West End Line),-73.99444444444444,40.64083333333333
Franklin Avenue–Fulton Street station,-73.95583333333333,40.681111111111115
